Assembly	SRR606249_subset10_1_reads_trim30.megahit.contigs
# contigs (>= 0 bp)	106560
# contigs (>= 1000 bp)	23558
# contigs (>= 5000 bp)	2751
# contigs (>= 10000 bp)	1033
# contigs (>= 25000 bp)	251
# contigs (>= 50000 bp)	56
Total length (>= 0 bp)	115452021
Total length (>= 1000 bp)	72867242
Total length (>= 5000 bp)	34167638
Total length (>= 10000 bp)	22432510
Total length (>= 25000 bp)	10790234
Total length (>= 50000 bp)	4193339
# contigs	58995
Largest contig	212072
Total length	97210488
GC (%)	48.80
N50	2431
N75	998
L50	7055
L75	23599
# N's per 100 kbp	0.00
