#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_102429_length_340_cov_1.417544,1,323,smeE,90-412/3124,==.............,0/0,10.34,75.232,card,AJ252200:1278-4401
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_103108_length_338_cov_1.643110,5,338,mexI,2510-2843/3091,............==.,0/0,10.81,80.240,card,NC_002516:4707534-4710624
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_107266_length_327_cov_2.305147,1,196,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,997-1192/1194,............===,0/0,16.42,80.102,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_10826_length_1800_cov_2.206304,461,678,smeR,317-534/691,......======...,0/0,31.55,77.523,card,AF173226:351-1041
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_109684_length_322_cov_1.022472,1,315,mfd,2011-2325/3447,........===....,0/0,9.14,75.238,card,NC_000913.3:1170517-1173964
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_110919_length_319_cov_1.238636,1,319,ceoB,2648-2966/3085,............===,0/0,10.34,86.520,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_111121_length_318_cov_1.935361,48,318,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,602-875/1194,.......=/===...,1/3,22.70,77.737,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_112351_length_315_cov_2.250000,9,313,mexY,1042-1346/3142,....==../......,4/4,9.64,76.547,card,AB015853:1330-4471
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_112777_length_314_cov_2.351351,3,306,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,7-317/1194,====..../......,4/7,25.46,77.492,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_115844_length_308_cov_0.905138,1,252,aminocoumarin_resistant_alaS,367-618/2631,.===..../......,2/2,9.54,78.261,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_118568_length_301_cov_2.276423,1,148,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,1047-1194/1194,.............==,0/0,12.40,77.703,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_119894_length_299_cov_1.012295,5,294,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,448-737/1194,.....=====.....,0/0,24.29,78.621,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_120821_length_297_cov_1.082645,10,295,ceoB,1387-1672/3085,......==/......,2/2,9.24,78.746,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_123589_length_291_cov_1.233051,93,282,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,334-523/1194,....===........,0/0,15.91,76.842,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_12369_length_1634_cov_2.452818,949,1061,OXA-368,1974-2086/2721,......../..=...,2/2,4.12,83.333,card,KT736121.1:1-2721
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_128052_length_282_cov_1.207048,12,279,OXA-54,458-725/798,........======.,0/0,33.58,80.597,card,AY500137:1-798
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_129923_length_278_cov_1.650224,1,278,lsaA,394-671/1498,...====........,0/0,18.56,100.000,card,AY587982:309-1806
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_131298_length_276_cov_1.013575,28,275,mdtB,187-434/3124,===............,0/0,7.94,75.403,card,U00096:2155262-2158385
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_135232_length_269_cov_0.859813,3,250,aminocoumarin_resistant_alaS,499-746/2631,..==..../......,4/10,9.24,75.889,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_136143_length_267_cov_1.231132,2,267,aminocoumarin_resistant_alaS,214-485/2631,.==...../......,1/6,10.11,76.838,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_137414_length_265_cov_0.876190,2,253,novA,328-579/1849,..===..........,0/0,13.63,78.175,card,AF170880:1-1848
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_140022_length_260_cov_1.224390,3,255,ceoB,22-274/3085,==.............,0/0,8.20,78.656,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_140022_length_260_cov_1.224390,87,244,adeG,2918-3075/3181,.............==,0/0,4.97,79.114,card,NC_010400:1365938-1369118
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_140949_length_258_cov_1.684729,56,247,Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin,178-369/3324,==.............,0/0,5.78,79.688,card,NC_014638:1610636-1613960
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_140991_length_258_cov_1.576355,46,258,mfd,2683-2895/3447,...........==..,0/0,6.18,79.343,card,NC_000913.3:1170517-1173964
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_141430_length_257_cov_2.653465,3,246,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,891-1134/1194,...........====,0/0,20.44,75.000,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_146318_length_249_cov_1.097938,1,247,smeE,1131-1377/3124,.....==./......,2/2,7.87,77.016,card,AJ252200:1278-4401
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_147831_length_246_cov_1.418848,2,246,ceoB,581-825/3085,..===..........,0/0,7.94,75.918,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_150062_length_242_cov_1.818182,1,170,Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin,1309-1478/3324,.....==........,0/0,5.11,77.059,card,NC_014638:1610636-1613960
/tmp/SRR606249_subset10_trim30.metaspades.contigs.fa,NODE_15734_length_1375_cov_1.242424,1,192,smeR,341-532/691,.......=====...,0/0,27.79,79.167,card,AF173226:351-1041
