#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_100611,1,334,sprE,197-530/855,...=======.....,0/0,39.06,99.401,vfdb,NP_815515
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_101855,1,403,fhaB,1480-1882/10773,..=............,0/0,3.74,87.841,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_101859,1,178,motB,690-867/1023,......../.===..,3/4,17.20,75.556,vfdb,YP_109904
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_102668,1,240,icl,1042-1281/1287,......../...===,4/6,18.41,75.720,vfdb,YP_177728
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_102919,31,145,pilB,1152-1266/1701,..........==...,0/0,6.76,80.000,vfdb,NP_253216
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_103813,255,464,tlpA,1657-1866/2028,............==.,0/0,10.36,76.190,vfdb,NP_206899
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_104025,622,858,pscR,409-645/654,.........======,0/0,36.24,80.169,vfdb,NP_250384
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_105382,1,139,fliE,191-329/330,........=======,0/0,42.12,78.417,vfdb,NP_208348
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_105475,64343,64548,fleQ,587-791/1473,.....===/......,4/7,13.71,75.120,vfdb,NP_249788
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_10575,12350,12472,tsr,1087-1209/2022,........=......,0/0,6.08,78.862,vfdb,YP_109900
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_106198,1,401,ace,1286-1686/2025,.........====..,0/0,19.80,92.269,vfdb,NP_814829
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_106310,870,1013,tlpC,1660-1803/2022,............==.,0/0,7.12,78.472,vfdb,NP_206882
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_1064,1,578,fss2,553-1130/4956,.===...........,0/0,11.66,97.059,vfdb,NP_816151
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_106502,2,213,fhaB,1222-1430/10773,.=....../......,1/3,1.94,79.245,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_108184,258,433,bplA,1-176/1053,===............,0/0,16.71,100.000,vfdb,NP_878995
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_108373,15581,15708,motB,541-668/1245,......===......,0/0,10.28,78.125,vfdb,YP_001006781
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_108391,597,691,acfB,1396-1490/1881,...........=...,0/0,5.05,83.158,vfdb,NP_230488
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_108576,379,479,pilJ,1540-1640/2049,...........==..,0/0,4.93,82.178,vfdb,NP_249102
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_11577,1,478,EF3023,2073-2550/4119,.......===.....,0/0,11.60,100.000,vfdb,NP_816637
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_11634,1,279,flhA,1432-1710/2103,..........===..,0/0,13.27,78.853,vfdb,YP_109890
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_12001,16581,16842,fliN,237-498/498,.......========,0/0,52.61,78.626,vfdb,YP_106653
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_12270,1,304,EF3023,1528-1831/4119,.....==........,0/0,7.38,100.000,vfdb,NP_816637
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_12337,147,348,btrU/bspR,1-195/699,====..../......,1/7,27.90,96.040,vfdb,NP_880877
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_12906,1,502,dnt,1712-2213/4395,.....===.......,0/0,11.42,100.000,vfdb,NP_881965
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_13080,500,787,fliM,1-288/1065,====..../......,3/8,26.67,76.027,vfdb,NP_207821
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_14068,5,363,fliP,74-432/762,.========......,0/0,47.11,83.287,vfdb,YP_106655
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_14205,358,503,tlpC,1660-1805/2022,............==.,0/0,7.22,80.137,vfdb,NP_206882
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_14341,1,1060,ebpA,735-1794/3312,...======......,0/0,32.00,99.245,vfdb,NP_814821
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_14403,1,300,fhaB,2305-2604/10773,...=...........,0/0,2.78,98.000,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_14560,1,1339,fhaB,4767-6075/10773,......==/......,3/54,12.04,90.452,vfdb,NP_880571
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_14844,272,399,fleN,52-179/843,====...........,0/0,15.18,79.688,vfdb,NP_250145
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_16413,1,306,bopC/bteA,534-839/1971,....===........,0/0,15.53,100.000,vfdb,NP_879352
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_16501,902,964,EF3023,1-63/4119,=..............,0/0,1.53,100.000,vfdb,NP_816637
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_1812,1,225,hsiB1/vipA,13-237/519,=======........,0/0,43.35,81.778,vfdb,NP_248773
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_18822,204,335,cps4J,10-141/1056,===............,0/0,12.50,76.515,vfdb,NP_344891
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_19703,495,632,htpB,748-885/1653,......===......,0/0,8.35,76.812,vfdb,YP_094724
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_1977,1253,1600,fsrA,1-348/732,========.......,0/0,47.54,99.138,vfdb,NP_815519
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_2024,75,215,tlpC,1645-1785/2022,............==.,0/0,6.97,76.596,vfdb,NP_206882
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_20246,529,663,flaA,384-518/1533,...===.........,0/0,8.81,77.778,vfdb,NP_207396
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_21157,4,410,gspE,748-1154/1494,.......=/===...,2/2,27.18,76.471,vfdb,YP_404601
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_21507,117,258,cheV3,597-738/1302,......===......,0/0,10.91,75.352,vfdb,NP_207394
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_22466,228,429,fliC,1-202/1167,===............,0/0,17.31,88.119,vfdb,YP_109915
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_22602,16,131,flgC,305-420/426,..........=====,0/0,27.23,78.448,vfdb,YP_106898
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_23012,87,782,pilB,517-1215/1701,....====/===...,11/21,40.39,76.130,vfdb,NP_253216
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_23296,1,427,bcrD,1190-1616/2100,........====...,0/0,20.33,98.595,vfdb,NP_880904
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_23376,1,337,srtC,1-337/855,======.........,0/0,39.42,100.000,vfdb,NP_814824
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_23376,431,2314,ebpC,1-1878/1878,========/======,1/6,100.00,98.992,vfdb,NP_814823
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_23376,2311,3254,ebpB,488-1431/1431,.....==========,0/0,65.97,98.941,vfdb,NP_814822
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_23998,1,513,cheA,1185-1697/2244,.......=/===...,2/6,22.73,80.039,vfdb,YP_109902
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_24010,1,109,EF0818,2907-3015/3015,..............=,0/0,3.62,100.000,vfdb,NP_814561
/tmp/SRR606249_subset10_1_reads_trim2.megahit.contigs.fa,k119_24347,1,468,flhA,153-620/2103,.====..........,0/0,22.25,90.385,vfdb,YP_109890
