#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_100679_length_345_cov_1.189655,168,345,cheB,37-214/1104,===...../......,4/12,15.58,78.804,vfdb,YP_109897
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_101072_length_344_cov_1.072664,1,207,ptlC,2269-2475/2475,.............==,0/0,8.36,100.000,vfdb,NP_882289
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_101072_length_344_cov_1.072664,215,344,ptlD,1-130/1392,==.............,0/0,9.34,100.000,vfdb,NP_882290
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_101200_length_343_cov_1.878472,89,221,katB,1214-1346/2196,........==.....,0/0,6.06,76.692,vfdb,YP_096397
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_101243_length_343_cov_1.687500,47,205,algU,107-265/582,..=====./......,4/8,26.63,76.687,vfdb,NP_249453
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_101388_length_343_cov_1.222222,1,66,bscD,1216-1281/1281,..............=,0/0,5.15,100.000,vfdb,NP_880905
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_101388_length_343_cov_1.222222,107,343,bscE,1-237/300,============...,0/0,79.00,99.156,vfdb,NP_880906
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_101436_length_343_cov_1.065972,37,303,bscF,1-267/267,===============,0/0,100.00,97.753,vfdb,NP_880907
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_101626_length_342_cov_1.602787,9,342,fliI,961-1282/1572,......../====..,2/12,20.48,81.138,vfdb,YP_106855
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_102451_length_340_cov_1.375439,1,340,dnt,1203-1542/4395,....==.........,0/0,7.74,99.706,vfdb,NP_881965
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_102981_length_339_cov_0.721831,1,339,fimD,658-996/1098,........======.,0/0,30.87,97.050,vfdb,NP_880574
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_103053_length_338_cov_1.908127,1,172,ace,1854-2025/2025,.............==,0/0,8.49,100.000,vfdb,NP_814829
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_103718_length_337_cov_0.847518,1,207,bscQ,874-1080/1080,............===,0/0,19.17,99.517,vfdb,NP_880885
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_103718_length_337_cov_0.847518,204,337,bscR,1-134/672,===............,0/0,19.94,99.254,vfdb,NP_880884
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_1040_length_10083_cov_3.598325,5029,5159,cheV3,595-725/1302,......===......,0/0,10.06,78.626,vfdb,NP_207394
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_104875_length_334_cov_0.863799,3,334,tcfA,1609-1940/1944,............===,0/0,17.08,75.904,vfdb,NP_879974
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_10549_length_1836_cov_2.445817,1,162,fliP,258-419/462,........======.,0/0,35.06,75.309,vfdb,NP_207479
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_106563_length_329_cov_1.616788,125,294,cheA,6-175/2244,==.............,0/0,7.58,81.765,vfdb,YP_109902
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_106813_length_329_cov_0.835766,1,149,fliN,332-480/498,..........=====,0/0,29.92,85.235,vfdb,YP_106653
/tmp/SRR606249_subset10_1_reads_trim30.metaspades.contigs.fa,NODE_106858_length_328_cov_2.293040,254,328,bplA,1-75/1053,==.............,0/0,7.12,100.000,vfdb,NP_878995
