#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_100038_length_358_cov_1.504950,3,358,bapC,2383-2738/2982,...........===.,0/0,11.94,98.034,vfdb,
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_100111_length_358_cov_1.221122,30,358,ptlF,494-822/822,.........======,0/0,40.02,99.392,vfdb,NP_882293
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_100288_length_357_cov_1.847682,200,342,relA,289-431/2373,.==...../......,2/2,5.98,78.472,vfdb,NP_217099
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_100867_length_356_cov_0.691030,1,356,bplH,145-500/1173,.======........,0/0,30.35,98.876,vfdb,NP_878988
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_100978_length_355_cov_1.720000,1,149,ideR,269-417/693,.....===/=.....,2/6,21.07,75.658,vfdb,NP_217227
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_101089_length_355_cov_1.350000,53,319,bscF,1-267/267,===============,0/0,100.00,97.753,vfdb,NP_880907
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_101091_length_355_cov_1.336667,229,341,bplG,482-594/594,............===,0/0,19.02,100.000,vfdb,NP_878989
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_101205_length_354_cov_4.297659,186,346,flgI,340-500/1194,....===........,0/0,13.48,75.155,vfdb,YP_106904
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_101378_length_354_cov_1.538462,1,59,bplH,1115-1173/1173,..............=,0/0,5.03,100.000,vfdb,NP_878988
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_101378_length_354_cov_1.538462,56,354,bplI,1-299/705,=======........,0/0,42.41,100.000,vfdb,NP_878987
/tmp/SRR606249_subset10_1_reads_trim2.metaspades.contigs.fa,NODE_101388_length_354_cov_1.538462,1,354,dnt,1189-1542/4395,....==.........,0/0,8.05,99.718,vfdb,NP_881965
