#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_100904,1,208,cepA_beta-lactamase,686-893/903,......../..====,2/2,22.92,78.469,card,U05883:555-1458
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_101950,1,640,PGN_0524,1-640/711,==============.,0/0,90.01,100.000,card,AP009380.1:573191-573902
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_102271,1,343,lsaA,1-343/1498,====...........,0/0,22.90,100.000,card,AY587982:309-1806
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_105814,281,1334,efrB,34-1085/1086,========/======,6/6,96.69,97.633,card,HG970103.1:1-1086
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_106872,1,574,mexB,836-1409/3142,...====./......,4/4,18.20,76.562,card,L11616:1569-4710
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_10804,1,103,emeA,1-103/1182,==.............,0/0,8.71,100.000,card,AB091338:173-1355
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_13521,58,187,vanO,271-400/1042,...===.........,0/0,12.48,77.692,card,KF478993:1539-2580
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_14675,1,333,lsaA,827-1159/1498,........====...,0/0,22.23,100.000,card,AY587982:309-1806
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_1690,339,1067,aminocoumarin_resistant_alaS,55-789/2631,=====.../......,8/12,27.59,76.152,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_19254,272,380,oqxB,1168-1276/3153,.....==........,0/0,3.46,83.486,card,NC_010378.1:47850-51003
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_19470,1,403,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,790-1192/1194,.........======,0/0,33.75,82.382,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_19697,182,1201,efrA,416-1436/1457,...=====/======,1/1,70.01,98.531,card,HG970100.1:1-1457
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_21832,1,514,CRP,21-534/634,========/====..,4/8,80.44,75.097,card,AP009048:4153663-4154296
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_24880,1753,1917,aminocoumarin_resistant_alaS,628-792/2631,...==..........,0/0,6.27,75.758,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_24930,5,140,smeE,2954-3089/3124,......../.....=,2/2,4.32,76.642,card,AJ252200:1278-4401
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_25452,144,499,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,2-363/1194,=====.../......,3/10,29.65,77.473,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_33715,1012,1111,AAC(6')-Ii,421-520/549,...........====,0/0,18.21,83.000,card,L12710:1-549
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_34565,1,371,ceoB,985-1355/3085,....===........,0/0,12.03,78.167,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_34606,1255,1660,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,1-406/1194,======.........,0/0,34.00,89.901,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_38121,265,824,mexB,941-1500/3142,....====.......,0/0,17.82,76.607,card,L11616:1569-4710
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_38747,6,348,ceoB,22-363/3085,==....../......,1/1,11.09,79.883,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_39411,4739,4956,smeR,317-534/691,......======...,0/0,31.55,77.523,card,AF173226:351-1041
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_39573,1029,1450,catB7,207-628/640,....====/======,4/6,65.47,75.765,card,NC_002516:779462-780101
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_42876,5326,5577,aminocoumarin_resistant_alaS,97-348/2631,==.............,0/0,9.58,76.587,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_43549,116,235,OXA-368,1977-2095/2721,......../..=...,3/3,4.34,82.645,card,KT736121.1:1-2721
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_44446,4,364,ceoB,490-850/3085,..===..........,0/0,11.70,76.454,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_44446,195,337,mdsB,2510-2652/3169,...........==..,0/0,4.51,76.224,card,NC_003197:393892-397060
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_44812,1,114,lsaA,1385-1498/1498,.............==,0/0,7.61,100.000,card,AY587982:309-1806
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_48836,1,428,smeE,1081-1508/3124,....===./......,2/2,13.67,77.622,card,AJ252200:1278-4401
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_53810,1110,1222,OXA-368,1974-2086/2721,......../..=...,2/2,4.12,83.333,card,KT736121.1:1-2721
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_56736,1,181,Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin,1678-1858/3324,.......==......,0/0,5.45,78.453,card,NC_014638:1610636-1613960
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_56982,1,309,ceoB,117-425/3085,===............,0/0,10.02,79.612,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_61139,172,439,Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin,1309-1576/3324,.....===.......,0/0,8.06,78.358,card,NC_014638:1610636-1613960
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_62124,665,961,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,898-1194/1194,...........====,0/0,24.87,78.114,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_62628,1,228,mdtB,1178-1405/3124,.....==........,0/0,7.30,75.000,card,U00096:2155262-2158385
/tmp/SRR606249_subset10_trim2.megahit.contigs.fa,k119_63335,1,432,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,561-992/1194,......==/====..,7/14,35.59,75.626,card,X98831.1:361-1555
